PROXIMITY_UUID,MAJOR,MINOR,MSD_POWER,Latitude,Longitude, Floor, height
f7826da6-4fa2-4e98-8024-bc5b71e0893e,24646,44958,-77,38.63309140444530,-90.31471348197520,1,2
f7826da6-4fa2-4e98-8024-bc5b71e0893e,55776,56603,-77,38.63309012843140,-90.31469797223170,1,2
f7826da6-4fa2-4e98-8024-bc5b71e0893e,15845,32927,-77,38.63327414858000,-90.31464616545330,1,2
f7826da6-4fa2-4e98-8024-bc5b71e0893e,32361,51287,-77,38.63327293121160,-90.31463148467290,1,2
f7826da6-4fa2-4e98-8024-bc5b71e0893e,34845,764,-77,38.63305971985420,-90.31467896962180,1,2
f7826da6-4fa2-4e98-8024-bc5b71e0893e,15269,29890,-77,38.63305803731320,-90.31466444770970,1,2
f7826da6-4fa2-4e98-8024-bc5b71e0893e,50363,994,-77,38.63329999227870,-90.31456252985640,1,2
f7826da6-4fa2-4e98-8024-bc5b71e0893e,43907,3532,-77,38.63329860294880,-90.31454751055170,1,2
f7826da6-4fa2-4e98-8024-bc5b71e0893e,42580,22241,-77,38.63304862077950,-90.31455991049070,1,2
f7826da6-4fa2-4e98-8024-bc5b71e0893e,49683,54255,-77,38.63304732048560,-90.31454640629890,1,2
