Find beacons place tool, version  1.0.0
Windows
C:\Users\vpentyukhov\Development\InvenSenseInc\Gift\Tools\proximity_beacons_place_finding
major,  minor,  ble_prox_hash,  x_calc,  y_calc,  x_expected,  y_expected,  distance,  iter_number,  number of ceils
 29731 ,   24036 ,  1948474852 ,  89.61193445000592 ,  64.84105423255271 ,  90.94631384038951 ,  63.407681257115456 ,  1.9583478864068857 ,  7 ,  4
 32361 ,   51287 ,  2120861783 ,  108.48574413893334 ,  59.39088664654176 ,  105.64049562627596 ,  58.47291157680611 ,  2.989668431019598 ,  9 ,  3
 33630 ,   65429 ,  2204041109 ,  72.46640673269411 ,  59.24336634224131 ,  71.21329367228108 ,  57.68237327433262 ,  2.0017471619154827 ,  200 ,  2
 34199 ,   59706 ,  2241325370 ,  98.87300585244141 ,  65.21976819920894 ,  95.62128875209734 ,  63.4685282652701 ,  3.69330548518426 ,  8 ,  3
 34845 ,   764 ,  2283602684 ,  106.24541791884786 ,  34.91325857650796 ,  104.30922875545845 ,  34.497146650014095 ,  1.9803983467466928 ,  10 ,  3
 36456 ,   31542 ,  2389211958 ,  69.90900157751149 ,  32.45694731174643 ,  68.3191788638734 ,  35.81025875360534 ,  3.711096049269195 ,  200 ,  2
 40312 ,   19417 ,  2641906649 ,  81.44188179993549 ,  53.12683496793117 ,  82.17569596738691 ,  52.69211947008433 ,  0.8529131236067693 ,  11 ,  1
 41182 ,   24937 ,  2698928489 ,  69.96541951271908 ,  35.277084109927856 ,  73.66731506617097 ,  36.10812345627106 ,  3.7940291358709177 ,  10 ,  4
 42247 ,   9853 ,  2768709245 ,  91.28965129576873 ,  34.84958138703822 ,  94.20893094224726 ,  34.49719140807527 ,  2.940471450570013 ,  8 ,  3
 42472 ,   43023 ,  2783488015 ,  92.29393190457644 ,  34.79396148642617 ,  88.73182637288188 ,  34.434858099444114 ,  3.580160759165842 ,  10 ,  4
 42580 ,   22241 ,  2790545121 ,  114.55978514200183 ,  33.903016597537 ,  114.73541391212268 ,  34.48638354545848 ,  0.6092310405924749 ,  8 ,  3
 43907 ,   3532 ,  2877492684 ,  114.53954381746362 ,  62.46168998796375 ,  112.55907719785914 ,  62.156465632443144 ,  2.003848781363151 ,  200 ,  4
 44708 ,   50119 ,  2930033607 ,  96.85585991521263 ,  71.0252800306907 ,  96.47329966232864 ,  70.14943134852355 ,  0.9557527196616227 ,  11 ,  1
 45741 ,   41589 ,  2997723765 ,  69.5444183355278 ,  35.4391973592782 ,  67.40768147145242 ,  36.46086322591274 ,  2.3684268131704584 ,  8 ,  3
 46313 ,   35794 ,  3035204562 ,  99.4925466680019 ,  28.320585796525304 ,  98.1313318670315 ,  27.75999991433042 ,  1.47212848138235 ,  12 ,  1
 46901 ,   37831 ,  3073741767 ,  64.02198534884955 ,  58.68614756281328 ,  63.07004315469638 ,  59.48272219006284 ,  1.241259472385581 ,  8 ,  5
 49683 ,   54255 ,  3256079343 ,  117.25624532116366 ,  34.962558696986356 ,  115.91853371095111 ,  34.480602293446836 ,  1.4218840765020915 ,  200 ,  2
 50363 ,   994 ,  3300590562 ,  110.99267080239736 ,  62.08793721637007 ,  111.24395487264435 ,  62.15663144297467 ,  0.2605044735291529 ,  9 ,  1
 52081 ,   45746 ,  3413226162 ,  84.34446249325073 ,  34.736017126552554 ,  82.14281298290332 ,  34.49114553999444 ,  2.215225194041561 ,  8 ,  3
 52846 ,   58146 ,  3463373602 ,  80.17017606045688 ,  50.38387893614733 ,  77.5102485395391 ,  49.2422741167195 ,  2.894559721318018 ,  8 ,  4
 55347 ,   6203 ,  3627227195 ,  66.21227453306193 ,  50.578310686655314 ,  70.72015109321015 ,  49.329163450042955 ,  4.677747310433734 ,  9 ,  3
 55776 ,   56603 ,  3655392539 ,  102.66673078663997 ,  35.643039360414775 ,  102.27315369635863 ,  37.654191050630246 ,  2.049300867869545 ,  200 ,  2
 58589 ,   34273 ,  3839722977 ,  98.52576401659941 ,  34.62875806056436 ,  95.5234965775632 ,  34.482133745401434 ,  3.005845715484093 ,  9 ,  3
 58844 ,   62778 ,  3856463162 ,  85.66277425062957 ,  65.68731304780542 ,  87.46945378557444 ,  63.46951466763449 ,  2.860545506905531 ,  8 ,  3
 58970 ,   38042 ,  3864695962 ,  80.5360963391151 ,  62.970973018709756 ,  84.21937005623955 ,  63.35315325125302 ,  3.7030483395989564 ,  9 ,  4
 61901 ,   15483 ,  4056759419 ,  84.63532966790407 ,  75.22030171239676 ,  81.18562345279162 ,  74.88547145061169 ,  3.465917522791414 ,  8 ,  4
 62401 ,   57498 ,  4089569434 ,  82.39871224830299 ,  31.740018771023877 ,  80.29322103524329 ,  30.217822199159052 ,  2.598110015312786 ,  25 ,  3
