Find beacons place tool, version  1.0.0
Windows
C:\Users\vpentyukhov\Development\InvenSenseInc\Gift\Tools\proximity_beacons_place_finding
major,  minor,  ble_prox_hash,  x_calc,  y_calc,  x_expected,  y_expected,  distance,  iter_number,  number of ceils
 18078 ,   6017 ,  1184765825 ,  75.19279967541468 ,  -0.21237223290634888 ,  72.01604874504615 ,  49.31828205969672 ,  49.63242348633558 ,  200 ,  2
 20217 ,   63408 ,  1325004720 ,  57.964885438773166 ,  41.232064506357375 ,  80.84153463315153 ,  34.5072822477666 ,  23.844575374455914 ,  9 ,  4
 20357 ,   56955 ,  1334173307 ,  51.17487825465271 ,  51.51436382012658 ,  98.94449516195965 ,  63.394256546447416 ,  49.224670142721685 ,  200 ,  11
 21008 ,   63834 ,  1376844122 ,  50.436689486635856 ,  50.686421147708344 ,  77.50412655244367 ,  52.76808706325127 ,  27.147366028684985 ,  25 ,  7
 21183 ,   15615 ,  1388264703 ,  74.31145672517538 ,  43.23814561173176 ,  87.37302492423116 ,  34.45910978896655 ,  15.737726449394785 ,  28 ,  7
 22059 ,   51394 ,  1445710018 ,  59.16405373664937 ,  37.4823726109159 ,  52.42161469498883 ,  44.84226217645299 ,  9.981405644868362 ,  56 ,  6
 22797 ,   57382 ,  1494081574 ,  55.555567065802414 ,  28.05213950322497 ,  45.0857411166856 ,  37.44474129328675 ,  14.065497637533893 ,  10 ,  11
 23586 ,   23566 ,  1545755662 ,  64.26697271384442 ,  60.882123971438695 ,  68.54072992465555 ,  59.692084768113446 ,  4.436349174987368 ,  12 ,  8
 24646 ,   44958 ,  1615245214 ,  100.92183473633617 ,  40.00987267579552 ,  100.91714875550255 ,  37.63687807177549 ,  2.3729992307467245 ,  13 ,  2
 28584 ,   30205 ,  1873311229 ,  53.44591518071068 ,  62.47040012032492 ,  54.45067722618512 ,  61.054089979252595 ,  1.736514089701057 ,  200 ,  3
 29731 ,   24036 ,  1948474852 ,  49.947826799199916 ,  50.273320492249155 ,  90.94631384038951 ,  63.407681257115456 ,  43.05098573050622 ,  32 ,  18
 30740 ,   22046 ,  2014598686 ,  28.739836952865247 ,  50.54715299530276 ,  43.600339723505755 ,  61.060756025886484 ,  18.203581825588984 ,  200 ,  3
 32361 ,   51287 ,  2120861783 ,  77.79401085951142 ,  73.18156349830954 ,  105.64049562627596 ,  58.47291157680611 ,  31.492398371886452 ,  134 ,  4
 33630 ,   65429 ,  2204041109 ,  70.01612461490987 ,  57.85205584775211 ,  71.21329367228108 ,  57.68237327433262 ,  1.209134371213282 ,  12 ,  1
 33697 ,   17138 ,  2208383730 ,  27.5518372406539 ,  56.24582267035886 ,  33.18129228987774 ,  64.51060469504696 ,  9.999869302487875 ,  200 ,  4
