calc log timestamp   x1       y1       reference log timestamp   x2    y2     error( sqrt( (x1-x2)^2 + (y1-y2)^2 ))
1461761461279.00000  17.26110  11.11120  1461761461279.00000  15.99704  11.75711  1.41953
1461761461819.00000  16.66030  11.05900  1461761461819.00000  15.27388  11.77639  1.56103
1461761462319.00000  16.05160  11.01600  1461761462319.00000  14.60843  11.79205  1.63859
1461761462979.00000  15.38560  10.94980  1461761462979.00000  13.80059  11.80000  1.79864
1461761463579.00000  14.69400  10.86120  1461761463579.00000  13.04567  11.77528  1.88481
1461761464079.00000  14.13100  10.76960  1461761464079.00000  12.43557  11.73432  1.95068
1461761464579.00000  13.58870  10.71560  1461761464579.00000  11.79167  11.71083  2.05422
1461761465079.00000  13.05000  10.65280  1461761465079.00000  11.14066  11.66898  2.16292
1461761465579.00000  12.43120  10.59540  1461761465579.00000  10.46824  11.66036  2.23324
1461761466179.00000  11.70250  10.55250  1461761466179.00000  9.67523  11.66000  2.31006
1461761466679.00000  11.10510  10.50270  1461761466679.00000  9.02345  11.66000  2.38173
1461761467179.00000  10.57130  10.45630  1461761467179.00000  8.44215  11.65235  2.44209
1461761467679.00000  9.98120  10.45790  1461761467679.00000  7.78139  11.66330  2.50842
1461761468179.00000  9.42070  10.47860  1461761468179.00000  7.13950  11.68100  2.57869
1461761468679.00000  8.83550  10.45700  1461761468679.00000  6.49991  11.70280  2.64707
1461761469179.00000  8.21190  10.46520  1461761469179.00000  5.83236  11.72309  2.69156
1461761469759.00000  7.52720  10.47130  1461761469759.00000  5.09014  11.73926  2.74718
1461761470259.00000  6.99070  10.45550  1461761470259.00000  4.50052  11.76341  2.81277
1461761470939.00000  6.22190  10.47530  1461761470939.00000  3.68902  11.78711  2.85243
1461761471479.00000  5.67860  10.48250  1461761471479.00000  3.10293  11.77315  2.88094
1461761471979.00000  5.26070  10.36790  1461761471979.00000  2.65521  11.67815  2.91639
1461761472479.00000  4.90680  10.20400  1461761472479.00000  2.30844  11.47653  2.89324
1461761472979.00000  4.44360  9.90230  1461761472979.00000  1.82865  11.10810  2.87957
1461761473479.00000  3.88980  9.31930  1461761473479.00000  1.21133  10.51535  2.93338
1461761473979.00000  3.48970  8.74750  1461761473979.00000  0.79503  9.84035  2.90784
1461761474479.00000  3.35770  8.24720  1461761474479.00000  0.66178  9.19359  2.85721
1461761474979.00000  3.36640  7.70300  1461761474979.00000  0.64272  8.60602  2.86947
1461761475479.00000  3.35970  7.23960  1461761475479.00000  0.65997  8.01119  2.80783
1461761475979.00000  3.32270  6.88360  1461761475979.00000  0.65266  7.51100  2.74276
1461761476479.00000  3.33900  6.35240  1461761476479.00000  0.65613  6.94965  2.74854
1461761476979.00000  3.30670  5.96370  1461761476979.00000  0.65350  6.43700  2.69508

average error = 2.04702
